year,month,payment_system,volume,value,unit,note
2024,July,BHIM,26.89,8932.3,"volume in million, value in rupees crore",
2024,July,Bharat Bill Pay,189.52,65733.38,"volume in million, value in rupees crore",
2024,July,IMPS,490.28,593176.6,"volume in million, value in rupees crore",
2024,July,Internet Banking,430.57,10958678.49,"volume in million, value in rupees crore",
2024,July,Mobile,13852.37,3141240.58,"volume in million, value in rupees crore",
2024,July,NEFT,0.01,3662263.72,"volume in million, value in rupees crore",
2024,July,RTGS,24.55,14531533.41,"volume in million, value in rupees crore",
2024,July,UPI,14435.55,2064292.41,"volume in million, value in rupees crore",
2024,June,BHIM,25.52,8280.36,"volume in million, value in rupees crore",
2024,June,Bharat Bill Pay,157.44,44829.87,"volume in million, value in rupees crore",
2024,June,IMPS,516.75,577794.22,"volume in million, value in rupees crore",
2024,June,Internet Banking,378.04,10487117.81,"volume in million, value in rupees crore",
2024,June,Mobile,13284.61,3029192.58,"volume in million, value in rupees crore",
2024,June,NEFT,0.01,3331461.27,"volume in million, value in rupees crore",
2024,June,RTGS,23.07,14570686.3,"volume in million, value in rupees crore",
2024,June,UPI,13885.14,2007081.2,"volume in million, value in rupees crore",
2024,May,BHIM,25.78,8307.54,"volume in million, value in rupees crore",
2024,May,Bharat Bill Pay,155.79,42992.86,"volume in million, value in rupees crore",
2024,May,IMPS,557.7,606166.8,"volume in million, value in rupees crore",
2024,May,Internet Banking,381.24,9595069.27,"volume in million, value in rupees crore",
2024,May,Mobile,13323.23,3092907.72,"volume in million, value in rupees crore",
2024,May,NEFT,0.01,3457994.85,"volume in million, value in rupees crore",
2024,May,RTGS,24.85,13559606.44,"volume in million, value in rupees crore",
2024,May,UPI,14035.84,2044937.05,"volume in million, value in rupees crore",
2024,April,BHIM,25.23,8652.97,"volume in million, value in rupees crore",
2024,April,Bharat Bill Pay,143.59,35522.03,"volume in million, value in rupees crore",
2024,April,IMPS,550.36,592278.85,"volume in million, value in rupees crore",
2024,April,Internet Banking,379.68,9637480.42,"volume in million, value in rupees crore",
2024,April,Mobile,12730.23,2962261.68,"volume in million, value in rupees crore",
2024,April,NEFT,0.01,3230549.49,"volume in million, value in rupees crore",
2024,April,RTGS,23.45,12800746.32,"volume in million, value in rupees crore",
2024,April,UPI,13303.99,1964464.52,"volume in million, value in rupees crore",
2024,March,BHIM,29.87,8319.37,"volume in million, value in rupees crore",
2024,March,Bharat Bill Pay,140.03,33878.4,"volume in million, value in rupees crore",
2024,March,IMPS,580.64,634705.71,"volume in million, value in rupees crore",
2024,March,Internet Banking,425.05,10374044.55,"volume in million, value in rupees crore",
2024,March,Mobile,12862.56,3131961.3,"volume in million, value in rupees crore",
2024,March,NEFT,0.01,4320840.23,"volume in million, value in rupees crore",
2024,March,RTGS,27.72,16588625.49,"volume in million, value in rupees crore",
2024,March,UPI,13440.0,1978353.23,"volume in million, value in rupees crore",
2024,February,BHIM,55.99,9033.14,"volume in million, value in rupees crore",
2024,February,Bharat Bill Pay,124.91,30286.03,"volume in million, value in rupees crore",
2024,February,IMPS,534.63,568091.81,"volume in million, value in rupees crore",
2024,February,Internet Banking,380.04,8867590.94,"volume in million, value in rupees crore",
2024,February,Mobile,11727.5,2828120.05,"volume in million, value in rupees crore",
2024,February,NEFT,0.01,3471494.54,"volume in million, value in rupees crore",
2024,February,RTGS,23.71,13083464.01,"volume in million, value in rupees crore",
2024,February,UPI,12102.67,1827869.35,"volume in million, value in rupees crore",
2024,January,BHIM,29.79,8756.95,"volume in million, value in rupees crore",
2024,January,Bharat Bill Pay,124.89,29462.76,"volume in million, value in rupees crore",
2024,January,IMPS,508.79,566309.72,"volume in million, value in rupees crore",
2024,January,Internet Banking,383.77,9123990.13,"volume in million, value in rupees crore",
2024,January,Mobile,11785.49,2815295.77,"volume in million, value in rupees crore",
2024,January,NEFT,0.01,3367322.17,"volume in million, value in rupees crore",
2024,January,RTGS,22.98,13127719.6,"volume in million, value in rupees crore",
2024,January,UPI,12203.02,1841083.97,"volume in million, value in rupees crore",
2023,December,BHIM,24.09,8405.5,"volume in million, value in rupees crore",
2023,December,Bharat Bill Pay,125.35,29997.37,"volume in million, value in rupees crore",
2023,December,IMPS,498.79,570126.05,"volume in million, value in rupees crore",
2023,December,Internet Banking,383.63,9388620.23,"volume in million, value in rupees crore",
2023,December,Mobile,11632.98,2804467.45,"volume in million, value in rupees crore",
2023,December,NEFT,0.01,3368835.71,"volume in million, value in rupees crore",
2023,December,RTGS,22.92,14244586.46,"volume in million, value in rupees crore",
2023,December,UPI,12020.23,1822949.42,"volume in million, value in rupees crore",
2023,November,BHIM,23.22,7919.85,"volume in million, value in rupees crore",
2023,November,Bharat Bill Pay,122.71,27579.17,"volume in million, value in rupees crore",
2023,November,IMPS,472.38,535001.69,"volume in million, value in rupees crore",
2023,November,Internet Banking,362.26,8033440.17,"volume in million, value in rupees crore",
2023,November,Mobile,10864.61,2646783.38,"volume in million, value in rupees crore",
2023,November,NEFT,0.01,3208491.45,"volume in million, value in rupees crore",
2023,November,RTGS,21.8,12078797.11,"volume in million, value in rupees crore",
2023,November,UPI,11235.29,1739740.61,"volume in million, value in rupees crore",
2023,October,BHIM,25.47,8137.06,"volume in million, value in rupees crore",
2023,October,Bharat Bill Pay,119.07,26226.05,"volume in million, value in rupees crore",
2023,October,IMPS,492.88,538238.51,"volume in million, value in rupees crore",
2023,October,Internet Banking,373.6,8464802.29,"volume in million, value in rupees crore",
2023,October,Mobile,10933.41,2619085.83,"volume in million, value in rupees crore",
2023,October,NEFT,0.01,3262014.74,"volume in million, value in rupees crore",
